ts,o,h,l,c
2021/07/16,9.58900000,10.23400000,8.84100000,8.90400000
2021/07/17,8.90300000,9.22300000,8.67100000,8.84600000
2021/07/18,8.84200000,9.49900000,8.82400000,8.88100000
2021/07/19,8.87900000,8.92900000,8.06000000,8.18900000
2021/07/20,8.19000000,8.32000000,7.25000000,7.54800000
2021/07/21,7.55500000,8.61100000,7.14200000,8.48500000
2021/07/22,8.48500000,8.95000000,8.21800000,8.52000000
2021/07/23,8.52700000,8.95800000,8.07500000,8.74400000
2021/07/24,8.74400000,8.78800000,8.34500000,8.61500000
2021/07/25,8.61800000,8.64400000,8.01500000,8.38100000
2021/07/26,8.38100000,10.47100000,8.34400000,9.33400000
2021/07/27,9.32700000,9.85300000,8.77800000,9.35000000
2021/07/28,9.34800000,9.47300000,8.91600000,9.10500000
2021/07/29,9.11100000,10.21200000,8.84300000,9.98300000
2021/07/30,9.97800000,10.24800000,8.96800000,9.59500000
2021/07/31,9.59500000,10.23000000,9.45100000,10.13800000
2021/08/01,10.13700000,10.41000000,9.31600000,9.45400000
2021/08/02,9.44800000,9.84900000,9.26400000,9.49000000
2021/08/03,9.49300000,9.58300000,8.82400000,9.05100000
2021/08/04,9.05100000,9.79900000,8.90900000,9.65300000
2021/08/05,9.65300000,10.88000000,9.34900000,10.52200000
2021/08/06,10.53000000,10.67000000,9.95900000,10.18500000
2021/08/07,10.18400000,11.10000000,10.04400000,10.57400000
2021/08/08,10.57900000,10.80000000,9.46000000,9.69100000
2021/08/09,9.68500000,10.33500000,9.30200000,10.15400000
2021/08/10,10.15900000,10.56400000,9.79700000,10.26800000
2021/08/11,10.26900000,11.50300000,10.15500000,10.65500000
2021/08/12,10.65600000,11.17800000,9.98300000,10.41300000
2021/08/13,10.41600000,12.17900000,10.28600000,12.09600000
2021/08/14,12.09600000,13.20000000,11.67400000,12.99800000
2021/08/15,12.99200000,13.49000000,11.98100000,12.84800000
2021/08/16,12.84900000,13.36300000,11.98200000,12.12500000
2021/08/17,12.12700000,13.10900000,11.11700000,11.25300000
2021/08/18,11.25100000,11.89500000,10.75900000,11.32400000
2021/08/19,11.33700000,12.50400000,11.03200000,12.39900000
2021/08/20,12.39900000,13.00000000,12.12500000,12.59000000
2021/08/21,12.59200000,14.53300000,12.29200000,13.06400000
2021/08/22,13.06200000,13.92000000,12.72600000,13.51400000
2021/08/23,13.51900000,14.35000000,13.30000000,13.62700000
2021/08/24,13.63000000,13.84100000,12.07400000,12.20700000
2021/08/25,12.20800000,12.77300000,11.75000000,12.42100000
2021/08/26,12.41200000,12.62500000,11.12900000,11.41500000
2021/08/27,11.42700000,12.32400000,11.05300000,12.23800000
2021/08/28,12.23500000,12.40000000,11.81200000,11.99000000
2021/08/29,11.98800000,12.16900000,11.27100000,11.64700000
2021/08/30,11.64700000,11.95900000,10.94200000,11.10600000
2021/08/31,11.10200000,11.87900000,10.90500000,11.57300000
2021/09/01,11.57000000,12.53000000,11.29500000,12.51000000
2021/09/02,12.50800000,13.00000000,12.11400000,12.53000000
